,0,1,2,3,4,5,6
0,"Selected poultry, birds 2008",,,,,,
1,,,,,,,
2, Upazila,Hen and cock,Hen and cock,Duck,Duck,Others,Others
3, Upazila,Holding reporting,Total number,Holding reporting,Total number,Holding reporting,Total number
4,Dimla,31571,175369,10142,47105,2128,13371
5,Domar,12150,27750,3700,12150,3550,79500
6,Jaldhaka,31822,160049,8320,38874,0,0
7,Kishorgonj,27389,147879,6776,30252,0,0
8,Nilphamary Sadar,43900,249705,14028,67047,1964,19223
9,Sayedpur,17574,92262,5520,26140,647,8435
10,Total,164406,853014,48486,221568,8289,120529
