,0,1,2,3,4,5,6,7,8,9,10
0,Number of Branch and Accounts of Krishi and Co-operative Bank 2011,,,,,,,,,,
1,,,,,,,,,,,
2,Upazila/City corporation,Krishi bank Number of branch Number of branch,Krishi bank Account S.D,Krishi bank Account C.D,Krishi bank Account F.D,Krishi bank Account S.T.D,Co-operative bank Number of branch Number of branch,Co-operative bank Account S.D,Co-operative bank Account C.D,Co-operative bank Account F.D,Co-operative bank Account S.T.D
3,Batiaghata,2,4356,44,98,0,0,0,0,0,0
4,Dacope,2,13694,212,306,2,0,0,0,0,0
5,Dighalia,1,11533,20,112,0,0,0,0,0,0
6,Dumuria,2,16808,146,424,16,0,0,0,0,0
7,Khulna City Corporation,5,9960,1895,777,96,1,2105,1308,345,60
8,Koyra,2,986,0,206,42,0,0,0,0,0
9,Paikgachha,2,4244,2130,148,5,1,316,0,17,0
10,Phultala,2,16221,303,266,7,0,0,0,0,0
11,Rupsa,2,5493,95,250,1,0,0,0,0,0
12,Terokhada,1,7176,15,22,1,0,0,0,0,0
13,Total,21,90471,4860,2609,170,2,2421,1308,362,60
