,0,1,2,3,4,5
0,Sanction post of Government employee by category 2011,,,,,
1,,,,,,
2,Upazila,Class-I,Class-II,Class-III,Class-IV,Number of employee
3,Begumganj,149,125,1555,223,2052
4,Chatkhil,71,46,772,146,1035
5,Companiganj,71,32,855,194,1152
6,Hatiya,39,25,1171,99,1334
7,Kabirhat,26,17,190,91,324
8,Noakhali Sadar,215,161,2364,823,3563
9,Senbagh,75,61,903,160,1199
10,Sonaimuri,53,37,799,87,976
11,Subarnachar,25,12,235,47,319
12,Total,724,516,8844,1870,11954
