,0,1,2,3,4,5,6,7
0,Land utilization (temporary cropped area) 2008,,,,,,,
1,,,,,,,,
2,Thana/Upazila Nmae,Current fallow,Temporary cropped area - Single,Temporary cropped area - Double,Temporary cropped area - Triple,Temporary cropped area - Net,Temporary cropped area - Gross,Productivity of crop
3,Katiadi,2045,3620,24241,7594,35455,80600,2.27
4,Hossainpur,12,1804,13145,5616,20565,23562,1.15
5,Bajitpur,72,18620,14169,1350,34139,44074,1.29
6,Itna,109,3890,41310,1406,46606,43015,0.92
7,Kuliar-char,15,400,15901,992,17293,17595,1.02
8,Mithamain,200,30451,9926,1105,41482,42651,1.03
9,Pakundia,18,1957,19302,7403,28662,72150,2.52
10,Tarail,156,11200,16825,690,28715,45250,1.58
11,Nikli,255,19288,5007,9023,33318,33318,1.00
12,Kishoreganj Sadar,140,5450,16910,6650,29010,58100,2.00
13,Austagram,1000,25624,19158,1017,45799,59579,1.30
14,Karimganj,155,11758,30400,593,42751,79573,1.86
15,Bhairab,631,13438,5179,1025,19642,21798,1.11
16,Total,4808,202347,155564,43398,423437,581665,1.37
