,0,1,2,3,4
0,Number of establishment and person engaged in cottage industries 2011,,,,
1,,,,,
2,Upazila,Number of units,Persons engaged Family,Persons engaged Hired,Persons engaged Total
3,Austagram,17,27,63,90
4,Bajitpur,0,0,0,0
5,Bhairab,2430,2514,19619,22133
6,Hossainpur,50,150,0,150
7,Itna,587,2500,1500,4000
8,Karimganj,0,0,0,0
9,Katiadi,1261,1500,200,1700
10,Kishoreganj Sadar,869,869,1476,2345
11,Kuliar-char,526,1052,572,1624
12,Mithamain,52,360,223,583
13,Nikli,0,0,0,0
14,Pakundia,608,878,1294,2172
15,Tarail,0,0,0,0
16,Total,6400,9850,24947,34797
