,0,1,2,3,4,5
0,Number of agriculture holding by tenure,,,,,
1,Kushtia,,,,,
2,,,,,,
3,Upazila,Total farm holding - Number,Total farm holding - Cropped area,Spraying Farm holding - Number,Spraying Farm holding - Cropped area, Reporting area sprayed
4,Kushtia Sadar,49502,55540,8910,2758,277
5,Bheramara,22456,22608,22456,22608,8000
6,Daulatpur,78000,72700,58000,60000,60000
7,Khoksa,16808,14751,14790,14751,14751
8,Kumarkhali,38768,29962,38768,29962,20800
9,Mirpur,35462,51160,35000,51160,42325
10,Total,240996,246721,177924,181239,146153
