,0,1,2
0,11.12 Numbers of money exchange agency 2011,,
1,Kushtia,,
2,,,
3,Upazila,Number of money exchange agency,Number of employee
4,Kushtia Sadar,19,19
5,Bheramara,0,0
6,Daulatpur,0,0
7,Khoksa,1,1
8,Kumarkhali,0,0
9,Mirpur,0,0
10,Total,20,20
