,0,1,2,3,4,5,6,7,8
0,"Number of school & college (operating jointly), teacher and student 2011",,,,,,,,
1,,,,,,,,,
2,Upazila,Number of institute,Number of teacher Male,Number of teacher Female,Number of teacher Total,Number of student Male,Number of student Female,Number of student Total,Students per teacher
3,Aditmari,4,50,9,59,190,473,663,11
4,Hatibandha,2,26,12,38,450,290,740,20
5,Kaligonj,3,30,5,35,600,650,1250,36
6,Lalmonirhat Sadar,1,14,5,19,326,264,590,31
7,Patgram,0,0,0,0,0,0,0,0
8,Total,10,120,31,151,1566,1677,3243,21
