,0,1,2,3,4,5,6,7
0,Average price of selected item 2011,,,,,,,
1,"(Price unit per kg, taka)",,,,,,,
2,Upazila,Fine rice (minicate),Medium rice,Coarse rice (normal),Wheat,Coarse flour (Aata),Potato,Soyabean oil
3,Aditmari,30,28,24,20,30,10,140
4,Hatibandha,50,30,25,25,35,15,130
5,Kaligonj,43,30,28,20,32,14,130
6,Lalmonirhat Sadar,50,30,27,18,30,12,135
7,Patgram,35,28,25,20,26,12,125
8,Average,42,30,26,20,32,12,135
