,0,1,2,3,4,5,6,7
0,"Number of household, population and density 2011",,,,,,,
1,,,,,,,,
2, Upazila, Household,Population,Population,Population,Sex ratio (M/F),Average size of household,Density per sq. km.
3, Upazila, Household,Male,Female,Both sex,Sex ratio (M/F),Average size of household,Density per sq. km.
4,Baghaichhari,20171,50595,46304,96899,109,4.75,50
5,Barkal,9396,25614,21909,47523,117,4.98,62
6,Belai Chhari,6063,15174,13351,28525,114,4.66,38
7,Jurai Chhari,6136,14839,12947,27786,115,4.45,46
8,Kaptai,13515,31798,27895,59693,114,4.32,230
9,Kawkhali,12865,30516,29062,59578,105,4.56,176
10,Langadu,17983,42226,39322,81548,107,4.49,210
11,Naniarchar,9481,22507,21109,43616,107,4.56,111
12,Rangamati Sadar,26872,66212,58516,124728,113,4.53,228
13,Rajasthali,6014,13595,12488,26083,109,4.23,180
14,Total,128496,313076,282903,595979,111,4.56,97
