,0,1,2,3,4
0,Area and production of turmeric and ginger 2010-11,,,,
1,(Area in acre and production in metric ton),,,,
2,"
Upazila",Turmeric,Turmeric,Ginger,Ginger
3,"
Upazila",Area,Production,Area,Production
4,Baghaichhari,631,2010,318,1070
5,Barkal,605,779,567,2353
6,Belai Chhari,182,255,75,122
7,Jurai Chhari,283,367,238,499
8,Kaptai,835,913,566,2916
9,Kawkhali,1212,1832,1084,705
10,Langadu,183,257,44,67
11,Naniarchar,484,464,274,228
12,Rangamati Sadar,1353,2124,495,1907
13,Rajasthali,97,129,129,183
14,Total,5865,9130,3790,10050
