,0,1,2,3,4,5
0,Average rate of vehicle per kilo meter 2011,,,,,
1,,,,,,
2,(Rate in taka),(Rate in taka),(Rate in taka),(Rate in taka),(Rate in taka),(Rate in taka)
3, Upazila,Vehicle,Vehicle,Vehicle,Vehicle,Vehicle
4, Upazila,Rickshaw,Rickshaw van,Easy bike,Auto rickshaw,Tempo
5,Atpara,7,8,0,4,4
6,Barhatta,10,25,0,5,5
7,Durgapur,10,10,5,10,5
8,Kalmakanda,15,10,15,15,10
9,Kendua,10,5,5,5,5
10,Khaliajuri,10,5,0,0,0
11,Madan,10,50,20,25,5
12,Mohanganj,10,25,8,8,0
13,Netrokona Sadar,10,12,5,5,3
14,Purbadhala,5,7,5,2,3
15,Average,10,16,9,9,5
