,0,1,2,3,4,5,6,7
0," Number of pond, dighee, flood camps, shelter, cyclone shelter, stadium,  playground, park,  amusement park 2011",,,,,,,
1,,,,,,,,
2, Upazila, Pond, Dighee, River flow,Flood camp/ shelter,Cyclone shelter,Stadium/ playground,Park/ amusement park
3,Alfadanga,2335,2,2,0,0,20,0
4,Bhanga,2156,20,5,4,0,11,0
5,Boalmari,3275,8,4,0,0,30,0
6,Charbhadrashon,606,0,2,1,0,15,1
7,Faridpur Sadar,4106,4,3,6,0,108,1
8,Madhukhali,4530,50,6,2,0,50,1
9,Nagarkanda,3594,0,1,19,3,40,0
10,Sadarpur,2920,23,2,3,0,27,1
11,Saltha,2510,0,0,1,1,31,0
12,Total,26032,107,25,36,4,332,4
