,0,1,2,3,4,5,6,7,8,9
0,Number of small scale and cottage industry 2011,,,,,,,,,
1,,,,,,,,,,
2, Upazila,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry
3, Upazila,Weaving/ handloom,Handy,Husking crafts mill,Goor processing,Biri factory,Salt processing,Dry fish processing,Pottery,Others
4,Alfadanga,5,147,1242,0,0,0,0,0,0
5,Bhanga,6,0,250,0,0,0,2,25,0
6,Boalmari,11,344,600,30,0,0,0,134,46
7,Charbhadrashon,32,32,17,0,0,0,0,0,7
8,Faridpur Sadar,0,68,133,62,0,0,0,43,38
9,Madhukhali,0,108,110,0,0,0,0,25,18
10,Nagarkanda,0,0,332,0,0,0,0,76,0
11,Sadarpur,235,12,220,650,0,0,0,52,0
12,Saltha,0,0,1320,0,0,0,0,72,0
13,Total,289,711,4224,742,0,0,2,427,109
