,0,1,2
0,"Number of railway station, steamer, launch station and bus stand 2011",,
1,,,
2,Upazila,Railway station,Bus stand
3,Alamdanga,2,18
4,Chuadanga Sadar,2,9
5,Damurhuda,3,2
6,Jibonnagar,2,7
7,Total,9,36
