,0,1,2,3,4
0,Number of pottery and person engaged 2011,,,,
1,,,,,
2, Upazila, Units,Person engaged - Family,Person engaged - Hired,Person engaged - Total
3,Alamdanga,50,100,30,130
4,Chuadanga Sadar,24,48,62,110
5,Damurhuda,18,36,10,46
6,Jibonnagar,178,534,29,561
7,Total,270,718,131,847
