,0,1,2,3,4,5,6,7,8,9,10
0,Number of branch and accounts of Rupali and Agrani bank 2011,,,,,,,,,,
1,,,,,,,,,,,
2, Upazila,Rupali bank - Number of branch,Rupali bank - Account - S.D,Rupali bank - Account - C.D,Rupali bank - Account - F.D,Rupali bank - Account - S.T.D,Agrani bank - Number of branch,Agrani bank - Account - S.D,Agrani bank - Account - C.D,Agrani bank - Account - F.D,Agrani bank - Account - S.T.D
3,Alamdanga,1,0,2,0,1,5,712,45,8,1
4,Chuadanga Sadar,2,9705,359,141,17,2,6934,600,65,30
5,Damurhuda,1,9571,317,46,5,1,300,1500,100,12
6,Jibonnagar,1,18,452,72,8,2,7,580,91,14
7,Total,5,19294,1130,259,31,10,7953,2725,264,57
