,0,1,2,3,4
0,"Area and production at water melon, melon (bangi) in following years",,,,
1,,,,,
2,(Area in acre and production in metric ton) -  Upazila,(Area in acre and production in metric ton) - Year - 2010-11,(Area in acre and production in metric ton) - Year - 2010-11,(Area in acre and production in metric ton) - Year - 2009-10.,(Area in acre and production in metric ton) - Year - 2009-10.
3, Upazila,Area,Production,Area,Production
4,Alamdanga,6,26,7,30
5,Chuadanga Sadar,19.5,117,18,108
6,Damurhuda,0,0,0,0
7,Jibonnagar,5,50,4,36
8,Total,30.5,193,29,174
