,0,1,2,3,4,5
0,"Number of non-registered rickshaw, van, easy bike and auto-rickshaw 2011",,,,,
1,,,,,,
2,Upazila,Rickshaw,Van,Easy bike and auto-rickshaw,Tempo,Nochimon/korimon/ bhotvoti
3,Jhalokati Sadar,500,50,77,52,25
4,Kanthalia,256,130,25,40,70
5,Nalchity,100,260,0,40,150
6,Rajpur,1420,650,36,162,95
7,Total,2276,1090,138,294,340
