,0,1,2,3,4,5,6,7,8,9
0,"Number of person, institute borrowing money from private commercial bank 2011",,,,,,,,,
1,Bhola,,,,,,,,,
2,,,,,,,,,,
3,  Upazila,Number of branch of all private commercial bank,Number of borrower - Agriculture debt - Male,Number of borrower - Agriculture debt - Female,Number of borrower - Industry debt - Male,Number of borrower - Industry debt - Female,Number of borrower - Others debt - Male,Number of borrower - Others debt - Female,Number of borrower - Male,Number of borrower - Female
4,Bhola Sadar,3,0,0,0,0,7753,3001,7753,3001
5,Burhanuddin,1,5,0,0,0,72,0,77,0
6,Char Fasson,2,27,0,0,0,135,0,162,0
7,Daulatkhan,1,270,13,0,0,108,7,378,20
8,Lalmohan,2,39,38,0,0,200,0,239,38
9,Manpura,0,0,0,0,0,0,0,0,0
10,Tazumuddin,1,340,20,0,0,60,10,400,30
11,Total,10,681,71,0,0,8328,3018,9009,3089
