,0,1,2,3,4,5,6,7
0,Number of holding reporting cattle head 2008,,,,,,,
1,,,,,,,,
2,Upazila Upazila 1,Total holdings Total holdings 2,1-2 heads Number of holding 3,1-2 heads Number of head 4,3-4 heads Number of holding 5,3-4 heads Number of head 6,5 heads  above Number of holding 7,5 heads  above Number of head 8
3,Atgharia,15506,10922,15513,3518,11666,1066,6999
4,Bera,14791,8709,12725,3740,12734,2342,16334
5,Bhangura,8692,5324,8687,2149,7271,1219,8491
6,Chatmohar,21649,16493,23274,3926,13138,1230,8556
7,Faridpur,8706,5207,7761,1646,5650,1853,16351
8,Ishwardi,26500,20783,28400,4266,14217,1451,11449
9,Pabna Sadar,37098,28088,38707,6786,22642,2224,15740
10,Santhia,28127,19902,28542,5277,17585,2948,25930
11,Sujanagar,21631,15012,21154,4829,16116,1790,12478
12,Total,182700,130440,183763,36137,121019,16123,122328
