,0,1,2,3
0,Number of co-operative society 2011,,,
1,Pabna,,,
2,,,,
3,Upazila 1,Number 2,Number of employee 3,Number of client 4
4,Atgharia,489,505,686
5,Bera,104,125,21350
6,Bhangura,178,260,11419
7,Chatmohar,176,249,27463
8,Faridpur,625,724,18322
9,Ishwardi,277,330,17751
10,Pabna Sadar,546,950,23583
11,Santhia,610,645,23645
12,Sujanagar,113,120,6389
13,Total,3118,3908,150608
