,0,1,2,3,4,5,6,7,8,9
0,Number of small scale and cottage industry 2011,,,,,,,,,
1,,,,,,,,,,
2, Upazila,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry
3, Upazila,Weaving/ Handloom,Handy,Husking crafts mill,Goor processing,Biri Factory,Salt processing,Dry fish processing,Pottery,Others
4,Chandpur Sadar,0,52,491,0,3,9,0,0,0
5,Foridganj,0,0,1250,0,0,0,0,14,0
6,Haimchar,0,0,85,0,0,0,0,0,0
7,Hajiganj,2,0,3035,0,0,0,12,4,0
8,Kachua,4,41,2164,0,0,0,2,29,24
9,Matlab Dakshin,0,62,136,0,0,0,0,5,0
10,Matlab Uttar,0,10,500,0,0,0,0,0,20
11,Shahrasti,0,150,55,0,0,0,0,50,185
12,Total,6,315,7716,0,3,9,14,102,229
