,0,1,2,3,4,5,6
0,"Number and area of pond, dighee and other area 2010-2011",,,,,,
1,(Area in acre),,,,,,
2,"
Upazila",Pond,Pond,Dighee,Dighee,"
Other area","
Total Area"
3,"
Upazila",Number,Area,Number,Area,"
Other area","
Total Area"
4,Chandpur Sadar,9503,3778,20,130,7,16
5,Foridganj,10752,5108,85,297,1277,6682
6,Haimchar,2587,292,12,24,5,73
7,Hajiganj,9490,4715,8,20,254,4989
8,Kachua,6604,3582,1,19,33,31246
9,Matlab Dakshin,3706,1505,40,42,1415,2959
10,Matlab Uttar,3896,4167,0,0,0,4167
11,Shahrasti,6078,4519,62,248,503,5270
12,Total,52616,27666,228,780,3494,55402
