,0,1,2,3,4,5
0,Daily average wage rate of non-agricultural labour 2011,,,,,
1,,,,,,
2,(Wage in taka) - Upazila,(Wage in taka) - Porter (coolee),(Wage in taka) - Garden labour male,(Wage in taka) - Garden female labour,(Wage in taka) - Other labour (Adult),(Wage in taka) - Other labour (Child)
3,Assasuni,300,150,110,150,70
4,Debhata,200,150,80,180,80
5,Kalaroa,200,200,100,120,100
6,Kaliganj,150,150,100,120,100
7,Satkhira Sadar,250,220,210,180,150
8,Shyamnagar,200,150,120,180,80
9,Tala,300,220,170,200,120
10,Average,229,177,127,161,100
